时间t	称重电压
0.0000	0.00013563
0.2000	0.00013568
0.4000	0.00013568
0.6000	0.00013567
0.8000	0.00013572
1.0000	0.00013564
1.2000	0.00013569
1.4000	0.00013560
1.6000	0.00013561
1.8000	0.00013569
2.0000	0.00013573
2.2000	0.00013563
2.4000	0.00013563
2.6000	0.00013557
2.8000	0.00013570
3.0000	0.00013559
3.2000	0.00013564
3.4000	0.00013556
3.6000	0.00013579
3.8000	0.00013566
4.0000	0.00013570
4.2000	0.00013568
4.4000	0.00013570
4.6000	0.00013563
4.8000	0.00013573
5.0000	0.00013567
5.2000	0.00013572
5.4000	0.00013576
5.6000	0.00013568
5.8000	0.00013566
6.0000	0.00013566
6.2000	0.00013937
6.4000	0.00013667
6.6000	0.00013665
6.8000	0.00013662
7.0000	0.00013662
7.2000	0.00013669
7.4000	0.00013664
7.6000	0.00013672
7.8000	0.00013666
8.0000	0.00013663
8.2000	0.00013668
8.4000	0.00013663
8.6000	0.00013671
8.8000	0.00013668
9.0000	0.00013667
9.2000	0.00013660
9.4000	0.00013667
9.6000	0.00013669
9.8000	0.00013667
10.0000	0.00013668
10.2000	0.00013662
10.4000	0.00013664
10.6000	0.00013671
10.8000	0.00013672
11.0000	0.00013674
11.2000	0.00013669
11.4000	0.00013655
11.6000	0.00013667
11.8000	0.00013674
12.0000	0.00013676
12.2000	0.00013670
12.4000	0.00013670
12.6000	0.00013675
12.8000	0.00013671
13.0000	0.00013660
13.2000	0.00013669
13.4000	0.00013678
13.6000	0.00013663
13.8000	0.00013663
14.0000	0.00013659
14.2000	0.00013673
14.4000	0.00013666
14.6000	0.00013660
14.8000	0.00013666
15.0000	0.00013663
15.2000	0.00013672
15.4000	0.00013670
15.6000	0.00013668
15.8000	0.00013671
16.0000	0.00013661
16.2000	0.00013670
16.4000	0.00013673
16.6000	0.00013671
16.8000	0.00013679
17.0000	0.00013677
17.2000	0.00013675
17.4000	0.00013662
17.6000	0.00013668
17.8000	0.00013663
18.0000	0.00013661
18.2000	0.00013663
18.4000	0.00013668
18.6000	0.00013658
18.8000	0.00013669
19.0000	0.00013664
19.2000	0.00013660
19.4000	0.00013658
19.6000	0.00013678
19.8000	0.00013663
20.0000	0.00013662
20.2000	0.00013666
20.4000	0.00013668
20.6000	0.00013672
20.8000	0.00013679
21.0000	0.00013663
21.2000	0.00013668
21.4000	0.00013673
21.6000	0.00013652
21.8000	0.00013669
22.0000	0.00013668
22.2000	0.00013670
22.4000	0.00013667
22.6000	0.00013670
22.8000	0.00013663
23.0000	0.00013667
23.2000	0.00013668
23.4000	0.00013669
23.6000	0.00013666
23.8000	0.00013671
24.0000	0.00013673
24.2000	0.00013668
24.4000	0.00013668
24.6000	0.00013666
24.8000	0.00013668
25.0000	0.00013667
25.2000	0.00013656
25.4000	0.00013664
25.6000	0.00013664
25.8000	0.00013663
26.0000	0.00013667
26.2000	0.00013666
26.4000	0.00013676
26.6000	0.00013655
26.8000	0.00013663
27.0000	0.00013667
27.2000	0.00013749
27.4000	0.00015013
27.6000	0.00013871
27.8000	0.00013866
28.0000	0.00013871
28.2000	0.00013872
28.4000	0.00013870
28.6000	0.00013864
28.8000	0.00013879
29.0000	0.00013878
29.2000	0.00013870
29.4000	0.00013860
29.6000	0.00013852
29.8000	0.00013867
30.0000	0.00013869
30.2000	0.00013871
30.4000	0.00013860
30.6000	0.00013871
30.8000	0.00013864
31.0000	0.00013870
31.2000	0.00013876
31.4000	0.00013877
31.6000	0.00013879
31.8000	0.00013868
32.0000	0.00014540
32.2000	0.00014071
32.4000	0.00014069
32.6000	0.00014067
32.8000	0.00014053
33.0000	0.00014078
33.2000	0.00014061
33.4000	0.00014060
33.6000	0.00014075
33.8000	0.00014070
34.0000	0.00014068
34.2000	0.00014065
34.4000	0.00014066
34.6000	0.00014069
34.8000	0.00014073
35.0000	0.00014077
35.2000	0.00014063
35.4000	0.00014072
35.6000	0.00014066
35.8000	0.00014065
36.0000	0.00014073
36.2000	0.00014067
36.4000	0.00014070
36.6000	0.00014072
36.8000	0.00014076
37.0000	0.00014063
37.2000	0.00014070
37.4000	0.00014063
37.6000	0.00014074
37.8000	0.00014071
38.0000	0.00014077
38.2000	0.00014072
38.4000	0.00014066
38.6000	0.00014072
38.8000	0.00014077
39.0000	0.00014070
39.2000	0.00014068
39.4000	0.00014067
39.6000	0.00014073
39.8000	0.00014074
40.0000	0.00014070
40.2000	0.00014063
40.4000	0.00014072
40.6000	0.00014068
40.8000	0.00014068
41.0000	0.00014075
41.2000	0.00014066
41.4000	0.00014076
41.6000	0.00014070
41.8000	0.00014083
42.0000	0.00014068
42.2000	0.00014075
42.4000	0.00014063
42.6000	0.00014076
42.8000	0.00014072
43.0000	0.00014075
43.2000	0.00014074
43.4000	0.00014067
43.6000	0.00014070
43.8000	0.00014064
44.0000	0.00014069
44.2000	0.00014074
44.4000	0.00014076
44.6000	0.00014073
44.8000	0.00014075
45.0000	0.00014066
45.2000	0.00014076
45.4000	0.00014070
45.6000	0.00014071
45.8000	0.00014071
46.0000	0.00014068
46.2000	0.00014071
46.4000	0.00014065
46.6000	0.00014073
46.8000	0.00014068
47.0000	0.00014077
47.2000	0.00014064
47.4000	0.00014062
47.6000	0.00014070
47.8000	0.00014070
48.0000	0.00014069
48.2000	0.00014072
48.4000	0.00014075
48.6000	0.00014070
48.8000	0.00014077
49.0000	0.00014066
49.2000	0.00014069
49.4000	0.00014081
49.6000	0.00014074
49.8000	0.00014070
50.0000	0.00014069
50.2000	0.00014072
50.4000	0.00014075
50.6000	0.00014079
50.8000	0.00014070
51.0000	0.00014067
51.2000	0.00014066
51.4000	0.00014075
51.6000	0.00014070
51.8000	0.00014075
52.0000	0.00014072
52.2000	0.00014080
52.4000	0.00014060
52.6000	0.00014069
52.8000	0.00014068
53.0000	0.00014069
53.2000	0.00014079
53.4000	0.00014074
53.6000	0.00014059
53.8000	0.00014073
54.0000	0.00014070
54.2000	0.00014115
54.4000	0.00014338
54.6000	0.00014577
54.8000	0.00014567
55.0000	0.00014578
55.2000	0.00014575
55.4000	0.00014575
55.6000	0.00014573
55.8000	0.00014581
56.0000	0.00014571
56.2000	0.00014574
56.4000	0.00014572
56.6000	0.00014579
56.8000	0.00014571
57.0000	0.00014580
57.2000	0.00014578
57.4000	0.00014578
57.6000	0.00014576
57.8000	0.00014573
58.0000	0.00014591
58.2000	0.00014580
58.4000	0.00014573
58.6000	0.00014568
58.8000	0.00014570
59.0000	0.00014574
59.2000	0.00014571
59.4000	0.00014570
