t	v
0.0000	0.00032031
0.2000	0.00032025
0.4000	0.00032031
0.6000	0.00032025
0.8000	0.00032018
1.0000	0.00032040
1.2000	0.00032021
1.4000	0.00032022
1.6000	0.00032023
1.8000	0.00032017
2.0000	0.00032011
2.2000	0.00032002
2.4000	0.00032002
2.6000	0.00032005
2.8000	0.00032020
3.0000	0.00032008
3.2000	0.00031997
3.4000	0.00032013
3.6000	0.00031998
3.8000	0.00031995
4.0000	0.00031990
4.2000	0.00031997
4.4000	0.00031990
4.6000	0.00031998
4.8000	0.00031993
5.0000	0.00031997
5.2000	0.00031988
5.4000	0.00031996
5.6000	0.00031987
5.8000	0.00031973
6.0000	0.00031978
6.2000	0.00031984
6.4000	0.00031969
6.6000	0.00031981
6.8000	0.00031985
7.0000	0.00031974
7.2000	0.00031961
7.4000	0.00031964
7.6000	0.00031967
7.8000	0.00031973
8.0000	0.00031975
8.2000	0.00031978
8.4000	0.00031977
8.6000	0.00031966
8.8000	0.00031969
9.0000	0.00031968
9.2000	0.00031948
9.4000	0.00031960
9.6000	0.00031957
9.8000	0.00031948
10.0000	0.00031956
10.2000	0.00031956
10.4000	0.00031956
10.6000	0.00031956
10.8000	0.00031945
11.0000	0.00031957
11.2000	0.00031950
11.4000	0.00031946
11.6000	0.00031952
11.8000	0.00031939
12.0000	0.00031932
12.2000	0.00031936
12.4000	0.00031941
12.6000	0.00031934
12.8000	0.00031950
13.0000	0.00031941
13.2000	0.00031936
13.4000	0.00031943
13.6000	0.00031933
13.8000	0.00031933
14.0000	0.00031935
14.2000	0.00031922
14.4000	0.00031927
14.6000	0.00031935
14.8000	0.00031930
15.0000	0.00031921
15.2000	0.00031924
15.4000	0.00031924
15.6000	0.00031921
15.8000	0.00031926
16.0000	0.00031910
16.2000	0.00031913
16.4000	0.00031914
16.6000	0.00031928
16.8000	0.00031925
17.0000	0.00031921
17.2000	0.00031918
17.4000	0.00031922
17.6000	0.00031915
17.8000	0.00031914
18.0000	0.00031904
18.2000	0.00031907
18.4000	0.00031908
18.6000	0.00031893
18.8000	0.00031902
19.0000	0.00031900
19.2000	0.00031896
19.4000	0.00031909
19.6000	0.00031903
19.8000	0.00031894
20.0000	0.00031900
20.2000	0.00031893
20.4000	0.00031889
20.6000	0.00031891
20.8000	0.00031889
21.0000	0.00031888
21.2000	0.00031888
21.4000	0.00031891
21.6000	0.00031888
21.8000	0.00031890
22.0000	0.00031884
22.2000	0.00031881
22.4000	0.00031892
22.6000	0.00031881
22.8000	0.00031876
23.0000	0.00031880
23.2000	0.00031873
23.4000	0.00031876
23.6000	0.00031867
23.8000	0.00031874
24.0000	0.00031871
24.2000	0.00031872
24.4000	0.00031877
24.6000	0.00031868
24.8000	0.00031870
25.0000	0.00031871
25.2000	0.00031863
25.4000	0.00031859
25.6000	0.00031858
25.8000	0.00031870
26.0000	0.00031853
26.2000	0.00031859
26.4000	0.00031845
26.6000	0.00031855
26.8000	0.00031851
27.0000	0.00031848
27.2000	0.00031854
27.4000	0.00031856
27.6000	0.00031845
27.8000	0.00031852
28.0000	0.00031839
28.2000	0.00031851
28.4000	0.00031855
28.6000	0.00031850
28.8000	0.00031838
29.0000	0.00031852
29.2000	0.00031846
29.4000	0.00031839
29.6000	0.00031848
29.8000	0.00031831
30.0000	0.00031845
30.2000	0.00031840
30.4000	0.00031835
30.6000	0.00031830
30.8000	0.00031826
31.0000	0.00031828
31.2000	0.00031827
31.4000	0.00031822
31.6000	0.00031818
31.8000	0.00031819
32.0000	0.00031817
32.2000	0.00031816
32.4000	0.00031824
32.6000	0.00031836
