Potential/V, Current/A
-1,-2.43E-03
-0.999,-2.32E-03
-0.998,-2.25E-03
-0.997,-2.18E-03
-0.996,-2.12E-03
-0.995,-2.07E-03
-0.994,-2.03E-03
-0.993,-1.98E-03
-0.992,-1.94E-03
-0.991,-1.90E-03
-0.99,-1.86E-03
-0.989,-1.82E-03
-0.988,-1.78E-03
-0.987,-1.75E-03
-0.986,-1.71E-03
-0.985,-1.68E-03
-0.984,-1.64E-03
-0.983,-1.61E-03
-0.982,-1.58E-03
-0.981,-1.55E-03
-0.98,-1.52E-03
-0.979,-1.49E-03
-0.978,-1.45E-03
-0.977,-1.42E-03
-0.976,-1.39E-03
-0.975,-1.37E-03
-0.974,-1.34E-03
-0.973,-1.31E-03
-0.972,-1.28E-03
-0.971,-1.26E-03
-0.97,-1.23E-03
-0.969,-1.20E-03
-0.968,-1.18E-03
-0.967,-1.15E-03
-0.966,-1.12E-03
-0.965,-1.10E-03
-0.964,-1.07E-03
-0.963,-1.05E-03
-0.962,-1.02E-03
-0.961,-1.00E-03
-0.96,-9.75E-04
-0.959,-9.51E-04
-0.958,-9.28E-04
-0.957,-9.04E-04
-0.956,-8.81E-04
-0.955,-8.58E-04
-0.954,-8.36E-04
-0.953,-8.13E-04
-0.952,-7.90E-04
-0.951,-7.68E-04
-0.95,-7.46E-04
-0.949,-7.23E-04
-0.948,-7.01E-04
-0.947,-6.79E-04
-0.946,-6.57E-04
-0.945,-6.34E-04
-0.944,-6.12E-04
-0.943,-5.90E-04
-0.942,-5.68E-04
-0.941,-5.45E-04
-0.94,-5.22E-04
-0.939,-4.99E-04
-0.938,-4.76E-04
-0.937,-4.53E-04
-0.936,-4.29E-04
-0.935,-4.05E-04
-0.934,-3.80E-04
-0.933,-3.55E-04
-0.932,-3.29E-04
-0.931,-3.03E-04
-0.93,-2.77E-04
-0.929,-2.49E-04
-0.928,-2.21E-04
-0.927,-1.92E-04
-0.926,-1.62E-04
-0.925,-1.32E-04
-0.924,-9.99E-05
-0.923,-6.77E-05
-0.922,-3.30E-05
-0.921,1.71E-06
-0.92,3.67E-05
-0.919,7.31E-05
-0.918,1.10E-04
-0.917,1.48E-04
-0.916,1.88E-04
-0.915,2.28E-04
-0.914,2.69E-04
-0.913,3.11E-04
-0.912,3.53E-04
-0.911,3.97E-04
-0.91,4.40E-04
-0.909,4.86E-04
-0.908,5.30E-04
-0.907,5.76E-04
-0.906,6.23E-04
-0.905,6.69E-04
-0.904,7.15E-04
-0.903,7.63E-04
-0.902,8.10E-04
-0.901,8.56E-04
-0.9,9.04E-04
-0.899,9.50E-04
-0.898,9.97E-04
-0.897,1.04E-03
-0.896,1.09E-03
-0.895,1.14E-03
-0.894,1.18E-03
-0.893,1.23E-03
-0.892,1.27E-03
-0.891,1.31E-03
-0.89,1.36E-03
-0.889,1.40E-03
-0.888,1.44E-03
-0.887,1.48E-03
-0.886,1.52E-03
-0.885,1.56E-03
-0.884,1.59E-03
-0.883,1.63E-03
-0.882,1.66E-03
-0.881,1.70E-03
-0.88,1.73E-03
-0.879,1.76E-03
-0.878,1.79E-03
-0.877,1.82E-03
-0.876,1.85E-03
-0.875,1.87E-03
-0.874,1.90E-03
-0.873,1.93E-03
-0.872,1.95E-03
-0.871,1.98E-03
-0.87,2.01E-03
-0.869,2.03E-03
-0.868,2.06E-03
-0.867,2.09E-03
-0.866,2.11E-03
-0.865,2.14E-03
-0.864,2.16E-03
-0.863,2.19E-03
-0.862,2.21E-03
-0.861,2.24E-03
-0.86,2.27E-03
-0.859,2.29E-03
-0.858,2.32E-03
-0.857,2.34E-03
-0.856,2.37E-03
-0.855,2.39E-03
-0.854,2.42E-03
-0.853,2.45E-03
-0.852,2.47E-03
-0.851,2.50E-03
-0.85,2.53E-03
-0.849,2.56E-03
-0.848,2.59E-03
-0.847,2.62E-03
-0.846,2.66E-03
-0.845,2.69E-03
-0.844,2.73E-03
-0.843,2.76E-03
-0.842,2.80E-03
-0.841,2.84E-03
-0.84,2.88E-03
